SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,PlacementStatus,IsAnomaly,Salary Package,Gender_Female,Gender_Male,City_Ahmedabad,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kochi,City_Kolkata,City_Mumbai,City_Pune,CollegeTier_Tier1,CollegeTier_Tier2,CollegeTier_Tier3,Stream_CS,Stream_Civil,Stream_ECE,Stream_EE,Stream_IT,Stream_Mechanical,Specialisation_AI,Specialisation_DataScience,Specialisation_Embedded,Specialisation_Networking,Hostel_No,Hostel_Yes,HistoryOfBacklogs_No,HistoryOfBacklogs_Yes,CGPA_Tier_High,CGPA_Tier_Low,CGPA_Tier_Mid
6.02,6.54,6.52,6.0,6.47,5.91,6.49,5.5,6.29,73.3,1,2,2.0,2,0,66.7,2.2,49.4,47.8,0,0,0,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False
5.84,5.12,5.34,5.18,5.03,4.93,5.4,5.13,5.23,54.5,0,1,0.0,1,0,48.2,2.4,26.7,25.8,0,0,0,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False
4.91,5.29,5.49,5.73,5.33,5.88,5.82,5.67,5.52,77.6,1,3,1.0,1,0,73.8,2.8,67.7,41.5,0,1,0,3.89,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False
7.67,8.03,8.08,7.64,6.86,7.1,7.56,7.39,7.51,68.8,1,2,1.0,2,0,69.8,2.7,66.9,48.0,0,1,0,8.37,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
8.14,8.97,8.36,8.55,8.55,8.38,9.1,8.86,8.65,95.8,2,3,2.0,4,1,73.1,2.1,71.7,61.7,1,1,0,18.99,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False
10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.9,2,5,2.0,4,1,81.5,3.9,57.7,75.3,0,1,0,18.17,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False
8.7,9.55,9.72,9.86,8.85,9.07,9.71,9.7,9.35,87.1,2,2,3.0,3,2,76.5,4.6,83.0,61.5,1,1,0,25.52,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
5.87,5.64,5.48,5.78,5.89,6.0,5.12,5.19,5.51,67.9,0,1,1.0,0,0,69.9,2.0,35.2,27.8,0,0,0,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False
6.76,5.84,6.05,5.97,6.36,6.25,5.88,5.99,6.2,65.5,0,2,1.0,1,1,52.3,3.7,63.8,56.9,1,1,0,5.51,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
8.26,8.29,8.23,8.61,8.5,8.37,8.59,8.16,8.41,75.5,1,2,2.0,1,0,59.0,2.7,74.3,42.4,1,1,0,18.51,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
6.95,7.55,7.26,7.38,7.5,7.23,7.72,7.88,7.55,93.0,1,4,3.0,4,2,82.2,3.6,86.8,65.1,0,1,0,8.06,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True
6.01,5.71,5.46,5.81,5.49,5.2,5.73,5.44,5.67,54.8,0,1,2.0,1,0,43.6,2.4,32.8,37.6,1,0,0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False
5.42,4.86,5.01,5.96,5.0,5.59,5.18,4.94,5.32,67.2,0,1,0.0,0,0,44.5,1.9,33.0,37.4,0,0,0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
10.0,10.0,10.0,10.0,10.0,10.0,9.74,10.0,9.92,78.6,1,4,2.0,3,1,69.9,3.2,87.9,86.8,1,1,0,18.11,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
6.77,6.81,6.38,6.5,6.75,6.61,7.35,7.52,6.69,86.8,1,4,3.0,4,1,95.5,3.4,65.1,73.0,1,1,0,8.79,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
9.12,9.59,8.77,8.31,9.21,9.01,9.35,9.16,9.05,100.0,2,2,3.0,2,1,81.1,4.6,85.2,60.3,1,1,0,25.03,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False
7.37,7.15,7.41,7.4,7.86,7.8,7.58,7.8,7.49,88.1,1,4,2.0,3,1,84.3,3.7,62.4,76.9,1,1,0,8.32,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True
5.45,5.01,4.83,4.77,4.79,5.78,4.92,4.73,5.03,75.9,0,1,0.0,2,1,60.9,2.4,57.7,47.9,0,0,0,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
6.97,6.53,6.97,6.34,7.09,7.12,6.51,6.98,6.84,66.4,0,2,1.0,1,0,69.9,1.3,57.9,56.6,0,0,0,0.0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
6.29,6.68,6.73,6.47,6.8,7.05,7.0,6.95,6.84,94.7,1,2,2.0,3,1,83.5,3.9,63.6,71.7,1,1,0,8.13,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
6.91,6.7,7.44,6.94,7.42,6.76,7.35,7.14,7.1,75.3,1,1,1.0,2,1,75.2,2.4,57.4,44.6,0,1,0,8.03,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
7.36,6.61,7.47,7.03,7.58,7.07,6.93,7.57,7.17,89.2,2,2,2.0,4,1,91.5,4.7,80.4,57.6,1,1,0,8.32,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True
8.59,8.36,8.61,8.63,8.86,8.46,9.2,8.42,8.66,86.6,2,3,3.0,4,1,76.8,4.5,83.3,68.9,1,1,0,22.2,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False
7.35,7.76,7.06,7.58,7.19,7.33,7.68,7.69,7.34,71.1,1,2,2.0,2,0,79.1,3.1,50.1,53.9,1,1,0,12.87,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True
9.36,9.12,9.39,9.92,9.24,9.77,9.96,9.84,9.6,61.2,0,2,1.0,2,0,70.9,2.9,52.1,57.2,0,1,0,18.09,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
4.75,4.19,4.58,5.47,5.06,5.14,5.08,5.21,4.99,79.4,1,2,3.0,3,1,83.2,3.2,60.5,59.3,0,0,0,0.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False
9.15,9.34,8.92,8.92,9.21,9.52,9.29,9.04,9.42,97.0,2,3,3.0,4,2,80.4,3.6,86.9,78.1,1,1,0,25.59,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False
6.08,6.06,5.93,6.16,6.22,6.39,6.6,6.07,6.25,70.4,1,2,3.0,2,0,63.3,2.8,57.7,59.3,0,0,0,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False
9.68,9.01,10.0,9.75,9.0,9.07,9.71,9.47,9.5,80.1,1,2,2.0,1,0,83.2,2.4,53.7,53.8,0,1,0,18.13,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False
9.94,9.85,9.28,10.0,10.0,10.0,10.0,10.0,9.86,92.3,3,1,2.0,3,2,69.9,4.8,60.3,89.3,1,1,0,25.15,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
6.37,5.62,6.08,5.84,5.57,6.25,5.7,6.22,6.02,71.0,1,2,1.0,1,1,70.7,3.0,61.3,60.8,1,1,0,5.99,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
9.71,9.63,10.0,10.0,10.0,10.0,10.0,10.0,9.96,89.5,1,3,4.0,4,2,84.2,3.3,78.8,59.8,1,1,0,25.46,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False
9.26,9.23,9.22,8.61,8.93,9.15,8.77,9.53,9.13,91.4,2,4,2.0,4,2,85.1,3.2,91.2,76.9,0,1,0,18.17,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
4.52,4.06,4.31,4.16,4.05,4.31,4.0,4.01,4.08,57.5,0,0,0.0,1,1,69.9,2.1,27.4,34.6,1,0,0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
